,Ecotype,1_1_Flower_DW,1_2_Flower_DW,1_3_Flower_DW,2_1_Flower_DW,2_2_Flower_DW,2_3_Flower_DW
0,Bahabad,49.461,46.404,47.276,34.359,32.073,36.645
1,Bajestan,42.546,44.778,49.622,37.6,43.473,39.329
2,Bardeskan,60.125,47.05,48.914,47.752,39.213,43.482
3,Estahbanat,34.629,38.133,42.763,39.151,35.851,37.501
4,Feizabad,53.954,66.593,45.891,44.124,41.841,39.233
5,Ferdows,55.985,49.069,47.888,41.396,39.181,40.289
6,Ghaien,52.731,41.504,53.978,43.76,39.233,38.472
7,Gonabad,42.475,50.271,47.522,50.448,43.222,46.835
8,Gorgan,58.465,46.673,45.89,40.828,38.132,40.9
9,Kalilabad,41.8,51.4,46.6,35.017,35.84,46.841
10,Kashmar,46.287,39.811,48.557,39.852,29.886,49.831
11,Natanz,49.773,43.056,55.838,40.5,45.591,48.031
12,Neishabour,57.594,47.86,49.223,36.733,33.925,39.523
13,Roshtkhar,59.7,53.127,76.745,45.842,34.577,41.65
14,Torbat-Heidarieh,58.524,48.148,59.328,42.933,36.687,44.401
15,Torbat-Jam,56.513,45.848,47.443,51.345,46.294,48.82
16,Zarand,46.094,53.218,51.59,40.017,40.804,35.813
17,Zaveh,53.736,40.29,46.782,38.814,40.307,39.92
