,Ecotype,1_1_Flower_FW,1_2_Flower_FW,1_3_Flower_FW,2_1_Flower_FW,2_2_Flower_FW,2_3_Flower_FW
0,Bahabad,357.918,338.628,363.136,223.539,194.859,252.218
1,Bajestan,300.24,366.365,350.972,260.2,273.033,259.471
2,Bardeskan,418.45,344.05,354.971,300.652,259.775,280.213
3,Estahbanat,246.929,298.333,321.475,255.746,233.042,244.394
4,Feizabad,385.783,375.934,322.37,316.708,296.247,286.933
5,Ferdows,398.254,374.675,343.663,234.078,276.381,255.23
6,Ghaien,384.741,352.175,383.244,297.077,269.742,294.304
7,Gonabad,327.838,382.029,364.811,387.343,297.667,342.505
8,Gorgan,427.885,365.27,341.043,261.625,238.011,258.169
9,Kalilabad,310.8,356.2,333.5,217.467,233.43,308.889
10,Kashmar,326.72,331.739,335.787,249.767,253.6,304.114
11,Natanz,368.614,319.0,409.7,252.738,298.293,337.769
12,Neishabour,344.991,366.233,360.456,209.567,227.5,259.777
13,Roshtkhar,436.835,367.991,357.139,297.224,272.2,287.85
14,Torbat-Heidarieh,422.694,373.485,420.119,297.181,239.674,289.528
15,Torbat-Jam,413.386,350.104,352.541,284.107,247.55,265.829
16,Zarand,325.953,399.137,369.695,274.95,263.19,257.875
17,Zaveh,377.369,358.761,338.638,290.243,256.686,248.966
