,Ecotype,1_1_Picrocrocin,1_2_Picrocrocin,1_3_Picrocrocin,2_1_Picrocrocin,2_2_Picrocrocin,2_3_Picrocrocin
0,Bahabad,112.2,106.6,105.0,120.6,117.0,117.6
1,Bajestan,94.4,104.0,104.4,124.8,113.1,116.5
2,Bardeskan,95.4,99.9,100.25,119.4,121.2,118.3
3,Estahbanat,91.6,97.2,98.0,123.6,125.7,122.3
4,Feizabad,102.2,103.4,88.8,126.3,164.4,155.6
5,Ferdows,96.4,95.8,96.1,98.4,102.9,101.65
6,Ghaien,114.2,89.4,101.8,122.1,109.2,111.62
7,Gonabad,97.0,103.2,100.1,135.3,114.6,120.12
8,Gorgan,114.0,112.2,108.8,119.4,124.8,121.1
9,Kalilabad,107.1,91.9,92.1,112.2,109.5,108.6
10,Kashmar,98.0,80.4,95.4,98.4,111.0,100.6
11,Natanz,90.0,96.6,100.2,117.4,90.8,101.1
12,Neishabour,110.6,96.2,103.0,144.8,91.8,124.0
13,Roshtkhar,96.8,92.2,101.4,106.2,120.3,110.21
14,Torbat-Heidarieh,91.8,93.4,106.2,135.6,129.9,134.3
15,Torbat-Jam,110.4,101.2,112.4,123.0,118.5,118.7
16,Zarand,113.2,92.6,97.0,114.0,120.0,119.0
17,Zaveh,113.2,105.1,97.0,133.2,119.7,130.45
