,Ecotype,1_1_Safranal,1_2_Safranal,1_3_Safranal,2_1_Safranal,2_2_Safranal,2_3_Safranal
0,Bahabad,31.2,30.0,31.6,39.6,37.8,37.6
1,Bajestan,35.0,35.8,36.2,42.0,36.9,38.5
2,Bardeskan,32.0,33.5,33.05,34.8,35.7,34.02
3,Estahbanat,34.2,36.4,36.2,41.4,45.3,44.3
4,Feizabad,35.2,34.4,32.8,39.6,58.5,52.05
5,Ferdows,28.6,28.8,29.8,27.0,28.5,29.03
6,Ghaien,31.6,30.4,31.4,37.2,30.9,32.03
7,Gonabad,34.0,35.6,33.3,49.2,39.3,47.02
8,Gorgan,36.8,36.4,36.6,39.0,41.1,41.15
9,Kalilabad,34.0,31.8,32.0,36.9,34.2,34.33
10,Kashmar,30.0,29.2,31.2,27.9,35.4,34.03
11,Natanz,32.0,33.4,34.0,38.4,31.6,33.0
12,Neishabour,34.0,34.0,33.0,49.0,29.4,42.0
13,Roshtkhar,27.2,28.921,28.8,34.8,41.7,36.24
14,Torbat-Heidarieh,34.4,34.521,34.0,43.2,43.8,42.5
15,Torbat-Jam,30.8,30.2,30.4,39.9,38.1,38.5
16,Zarand,30.4,30.0,31.6,36.3,38.1,38.2
17,Zaveh,33.4,33.1,32.8,48.0,38.1,46.03
