,Ecotype,1_1_Stigma_DW,1_2_Stigma_DW,1_3_Stigma_DW,2_1_Stigma_DW,2_2_Stigma_DW,2_3_Stigma_DW
0,Bahabad,4.816,4.733,5.019,4.1,4.291,4.482
1,Bajestan,4.249,4.353,4.402,4.5,5.229,4.133
2,Bardeskan,6.5,4.65,4.543,5.867,5.138,5.502
3,Estahbanat,3.371,3.278,4.0,4.341,4.152,3.963
4,Feizabad,5.472,5.475,3.865,5.399,5.041,5.22
5,Ferdows,5.385,4.819,4.25,5.248,4.885,5.067
6,Ghaien,4.81,4.275,5.333,5.35,4.861,4.914
7,Gonabad,4.425,5.571,4.778,6.452,5.111,5.782
8,Gorgan,5.993,4.922,8.354,6.17,4.671,4.9
9,Kalilabad,3.8,4.967,4.383,4.333,4.55,5.541
10,Kashmar,4.327,3.466,4.228,4.9,5.386,5.872
11,Natanz,5.191,4.911,6.269,8.559,5.524,5.905
12,Neishabour,4.678,4.753,4.788,4.7,4.2,4.677
13,Roshtkhar,6.095,5.164,4.691,5.791,4.538,5.0
14,Torbat-Heidarieh,5.906,4.439,5.95,5.284,4.55,5.319
15,Torbat-Jam,5.388,4.289,4.4,8.166,6.561,7.364
16,Zarand,4.124,5.369,4.663,5.0,5.163,4.231
17,Zaveh,5.026,3.976,4.503,4.894,5.115,5.045
