,Ecotype,1_1_Stigma_FW,1_2_Stigma_FW,1_3_Stigma_FW,2_1_Stigma_FW,2_2_Stigma_FW,2_3_Stigma_FW
0,Bahabad,27.854,27.313,29.181,21.202,18.568,23.836
1,Bajestan,23.077,26.115,33.128,23.8,23.122,24.471
2,Bardeskan,39.975,29.6,27.286,48.314,23.825,36.07
3,Estahbanat,19.557,20.667,24.25,32.269,26.103,29.186
4,Feizabad,30.341,29.287,22.517,28.779,27.034,23.867
5,Ferdows,32.685,28.794,25.875,22.422,25.276,23.849
6,Ghaien,31.428,26.163,32.544,26.796,24.015,27.422
7,Gonabad,27.188,33.3,30.311,37.548,27.5,32.524
8,Gorgan,35.78,29.222,25.384,21.4,19.489,20.269
9,Kalilabad,22.9,30.0,26.45,27.183,19.92,26.033
10,Kashmar,25.993,21.158,24.164,25.955,17.9,23.917
11,Natanz,30.136,28.311,38.144,47.769,26.131,31.493
12,Neishabour,27.156,29.35,27.748,18.067,22.175,22.385
13,Roshtkhar,35.77,29.079,39.397,45.522,20.431,25.6
14,Torbat-Heidarieh,36.682,30.899,35.404,26.128,20.269,24.253
15,Torbat-Jam,32.648,24.83,25.453,35.511,30.483,32.997
16,Zarand,23.528,31.951,30.931,25.033,22.467,23.206
17,Zaveh,40.695,22.649,25.632,25.391,22.675,22.323
