,Ecotype,1_1_Total_metabolites,1_2_Total_metabolites,1_3_Total_metabolites,2_1_Total_metabolites,2_2_Total_metabolites,2_3_Total_metabolites
0,Bahabad,347.4,331.2,288.6,371.1,351.9,356.2
1,Bajestan,290.6,256.2,263.8,351.9,327.3,340.7
2,Bardeskan,285.5,244.9,260.3,360.6,363.3,357.52
3,Estahbanat,273.8,263.6,256.2,369.6,375.9,371.8
4,Feizabad,284.6,273.4,206.8,394.5,450.6,429.82
5,Ferdows,280.0,231.2,256.7,300.3,310.8,304.98
6,Ghaien,375.4,309.6,342.9,368.1,340.8,353.4
7,Gonabad,259.8,257.8,257.3,402.0,343.8,375.34
8,Gorgan,321.6,260.6,271.8,357.0,370.8,363.55
9,Kalilabad,303.6,240.9,224.3,333.6,327.0,325.83
10,Kashmar,305.8,208.4,241.8,266.4,286.2,274.83
11,Natanz,250.0,234.4,222.2,353.2,253.0,308.1
12,Neishabour,330.2,278.2,281.08,398.0,255.0,348.0
13,Roshtkhar,282.0,234.121,259.8,282.3,310.8,288.5
14,Torbat-Heidarieh,294.2,220.921,267.6,386.1,372.0,374.4
15,Torbat-Jam,314.6,283.266,264.6,357.3,346.2,351.8
16,Zarand,286.6,219.0,249.0,338.1,355.2,352.65
17,Zaveh,347.0,288.5,263.444,309.0,285.6,303.28
