,Ecotype,No_of_Flower_1,Flower_FW_1,Stigma_FW_1,Flower_DW_1,Stigma_DW_1,Stigma_length_1,Yield_1,Picrocrocin_1,Safranal_1,Crocin_1,Total_metabolites_1
0,Bahabad,11.333333333333334,353.2273333333333,28.116,47.713666666666676,4.856,26.79733333333333,54.88133333333334,107.93333333333334,30.933333333333337,183.53333333333333,322.4
1,Bajestan,9.851999999999999,339.19233333333335,27.439999999999998,45.648666666666664,4.334666666666667,26.673000000000002,42.822,100.93333333333334,35.666666666666664,133.6,270.2
2,Bardeskan,0.9630000000000001,372.49033333333335,32.287,52.029666666666664,5.231000000000001,29.46666666666667,4.970666666666666,98.51666666666667,32.85,132.20000000000002,263.56666666666666
3,Estahbanat,1.7779999999999998,288.9123333333334,21.491333333333333,38.50833333333333,3.549666666666667,25.245,6.303666666666667,95.60000000000001,35.6,133.33333333333334,264.53333333333336
4,Feizabad,10.0,361.3623333333333,27.381666666666664,55.47933333333333,4.937333333333333,27.326999999999998,51.99266666666666,98.13333333333334,34.13333333333333,122.66666666666664,254.9333333333333
5,Ferdows,2.741,372.19733333333335,29.118,50.98066666666667,4.8180000000000005,27.430666666666667,13.415,96.09999999999998,29.066666666666666,130.8,255.96666666666667
6,Ghaien,5.333333333333333,373.3866666666666,30.044999999999998,49.404333333333334,4.806,28.655999999999995,25.052000000000003,101.80000000000001,31.133333333333336,209.69999999999996,342.6333333333334
7,Gonabad,1.7779999999999998,358.22599999999994,30.266333333333336,46.756,4.924666666666666,28.138666666666666,8.696666666666665,100.09999999999998,34.3,123.90000000000002,258.3
8,Gorgan,50.29633333333334,378.066,30.12866666666667,50.34266666666667,6.422999999999999,28.507,315.6666666666667,111.66666666666667,36.599999999999994,136.4,284.6666666666667
9,Kalilabad,0.4443333333333333,333.5,26.45,46.599999999999994,4.383333333333333,26.0,2.034333333333333,97.03333333333335,32.6,126.63333333333333,256.26666666666665
10,Kashmar,9.185,331.41533333333336,23.771666666666665,44.885,4.007000000000001,26.46666666666667,35.33133333333333,91.26666666666667,30.133333333333336,130.6,252.0
11,Natanz,3.481666666666667,365.77133333333336,32.197,49.55566666666667,5.457000000000001,28.123,19.163,95.60000000000001,33.13333333333333,106.8,235.5333333333333
12,Neishabour,8.148333333333333,357.22666666666663,28.084666666666667,51.559000000000005,4.739666666666667,26.986666666666668,38.67433333333333,103.26666666666667,33.666666666666664,159.56000000000003,296.49333333333334
13,Roshtkhar,6.37,387.3216666666667,34.74866666666667,63.190666666666665,5.316666666666666,28.365,33.11866666666666,96.8,28.307,133.53333333333333,258.64033333333333
14,Torbat-Heidarieh,18.0,405.43266666666676,34.32833333333334,55.333333333333336,5.431666666666666,29.635333333333335,93.50366666666667,97.13333333333333,34.306999999999995,129.46666666666667,260.907
15,Torbat-Jam,63.333333333333336,372.01033333333334,27.643666666666665,49.93466666666666,4.692333333333333,27.187,295.80733333333336,108.0,30.46666666666667,149.02200000000002,287.4886666666667
16,Zarand,14.074333333333334,364.9283333333333,28.80333333333333,50.30066666666667,4.718666666666667,26.609333333333336,65.037,100.93333333333334,30.666666666666668,119.93333333333334,251.53333333333333
17,Zaveh,9.407333333333334,358.25600000000003,29.658666666666665,46.936,4.501666666666666,26.988333333333333,42.0,105.10000000000001,33.1,161.448,299.64799999999997
